,State,January,February,March,April,May,June,July,August,September,October,November ,December,Avg_Unemployment
0,Alabama,6.1,6.4,6.7,6.9,6.8,6.8,7.0,6.9,6.6,6.3,6.0,5.7,7.015972222222222
1,Alaska,6.4,6.5,6.6,6.4,6.4,6.4,6.5,6.8,6.8,6.8,6.6,6.3,7.039583333333332
2,Arizona,7.5,7.3,7.3,6.9,6.8,6.9,7.0,7.1,6.9,6.8,6.8,6.7,7.536111111111111
3,Arkansas,7.3,7.1,6.9,6.6,6.4,6.2,6.2,6.3,6.2,6.0,5.8,5.7,6.882638888888889
4,California,8.1,8.0,8.1,7.8,7.6,7.4,7.4,7.4,7.3,7.3,7.2,7.0,8.128472222222221
5,Colorado,6.1,6.1,6.2,6.0,5.8,5.5,5.3,5.1,4.7,4.3,4.1,4.0,5.675694444444445
6,Connecticut,7.2,7.0,7.0,6.9,6.9,6.7,6.6,6.6,6.4,6.4,6.5,6.4,7.231944444444445
7,Delaware,6.1,6.0,5.9,5.8,5.9,6.1,6.2,6.5,6.5,6.4,6.0,5.4,6.527777777777779
9,Florida,6.1,6.2,6.3,6.2,6.3,6.2,6.2,6.3,6.1,6.0,5.8,5.6,6.575694444444444
10,Georgia,7.3,7.1,7.0,7.0,7.2,7.4,7.7,8.1,7.9,7.7,7.2,6.9,7.936111111111113
11,Hawaii,4.6,4.6,4.5,4.4,4.4,4.4,4.4,4.3,4.2,4.1,4.0,4.0,4.656944444444445
12,Idaho,5.4,5.3,5.2,5.0,4.9,4.7,4.8,4.7,4.5,4.1,3.9,3.7,5.045138888888889
13,Illinois,8.7,8.7,8.4,7.9,7.5,7.1,6.8,6.7,6.6,6.6,6.4,6.2,7.862500000000001
14,Indiana,6.4,6.1,5.9,5.7,5.7,5.9,5.9,5.8,5.7,5.7,5.7,5.8,6.306944444444446
15,Iowa,4.3,4.4,4.5,4.3,4.4,4.4,4.5,4.5,4.6,4.5,4.3,4.1,4.735416666666667
16,Kansas,4.8,4.9,4.9,4.8,4.8,4.9,4.9,4.9,4.8,4.4,4.3,4.2,5.079166666666667
17,Kentucky,7.7,7.8,7.9,7.7,7.7,7.4,7.4,7.1,6.7,6.2,6.0,5.7,7.65763888888889
18,Louisiana,4.9,4.5,4.5,4.5,4.9,5.0,5.4,5.8,6.0,6.2,6.5,6.7,5.815972222222222
19,Maine,6.2,6.1,5.9,5.7,5.7,5.5,5.5,5.6,5.8,5.8,5.7,5.5,6.188888888888889
20,Maryland,5.8,5.7,5.6,5.5,5.6,5.8,6.1,6.4,6.3,6.0,5.6,5.5,6.26875
21,Massachusetts,6.8,6.5,6.3,6.0,5.6,5.5,5.6,5.8,6.0,6.0,5.8,5.5,6.404166666666668
22,Michigan,7.8,7.7,7.5,7.4,7.5,7.5,7.7,7.4,7.2,7.1,6.7,6.3,7.877083333333332
23,Minnesota,4.7,4.8,4.8,4.7,4.6,4.5,4.5,4.3,4.1,3.9,3.7,3.6,4.685416666666667
24,Mississippi,7.5,7.4,7.6,7.5,7.7,7.9,8.0,7.9,7.7,7.6,7.3,7.2,8.189583333333333
25,Missouri,6.0,6.4,6.7,6.6,6.6,6.5,6.5,6.3,6.3,5.9,5.6,5.4,6.7118055555555545
26,Montana,5.3,5.1,5.1,4.8,4.6,4.5,4.6,4.7,4.6,4.5,4.3,4.2,5.051388888888888
27,Nebraska,3.5,3.6,3.7,3.6,3.6,3.5,3.6,3.6,3.6,3.4,3.1,2.9,3.7409722222222226
28,Nevada,8.7,8.5,8.5,8.0,7.9,7.7,7.7,7.6,7.3,7.1,6.9,6.8,8.319444444444445
29,New Hampshire,4.9,4.7,4.5,4.4,4.4,4.4,4.4,4.4,5.2,4.2,4.1,4.0,4.809722222222223
30,New Jersey,7.1,7.1,7.2,6.9,6.8,6.6,6.5,6.6,6.5,6.6,6.4,6.2,7.221527777777777
31,New Mexico,6.6,6.7,7.0,6.8,6.5,6.5,6.6,6.7,6.6,6.5,6.4,6.1,7.086805555555556
32,New York,6.8,6.8,6.9,6.7,6.7,6.6,6.6,6.4,6.2,6.0,5.9,5.8,6.945833333333334
33,North Carolina,6.7,6.4,6.3,6.2,6.4,6.4,6.5,6.8,6.7,6.3,5.8,5.5,6.817361111111111
34,North Dakota,2.6,2.6,2.6,2.6,2.6,2.7,2.8,2.8,2.8,2.8,2.7,2.8,2.9055555555555554
35,Ohio,6.9,6.5,6.1,5.7,5.5,5.5,5.7,5.7,5.6,5.3,5.0,4.8,6.129166666666666
36,Oklahoma,5.2,5.0,4.9,4.6,4.6,4.5,4.6,4.7,4.7,4.5,4.4,4.2,5.0152777777777775
37,Oregon,7.0,6.9,6.9,6.9,6.9,6.8,6.9,7.2,7.1,7.0,7.0,6.7,7.471527777777777
38,Pennsylvania,6.4,6.2,6.0,5.7,5.6,5.6,5.7,5.8,5.7,5.4,5.1,4.8,6.101388888888889
40,Rhode Island,9.2,9.0,8.7,8.3,8.2,7.9,7.7,7.7,7.6,7.4,7.1,6.8,8.579166666666666
41,South Carolina,6.4,5.7,5.5,5.3,5.3,5.3,5.8,6.4,6.6,6.7,6.7,6.5,6.471527777777777
42,South Dakota,3.6,3.6,3.7,3.8,3.8,3.8,3.7,3.6,3.4,3.3,3.3,3.3,3.849999999999999
43,Tennessee,7.2,6.9,6.7,6.3,6.4,6.6,7.1,7.4,7.3,7.1,6.8,6.6,7.389583333333333
44,Texas,5.7,5.7,5.5,5.2,5.1,5.1,5.1,5.3,5.2,5.1,4.9,4.6,5.606944444444445
45,Utah,3.9,3.9,4.1,3.8,3.6,3.5,3.6,3.6,3.5,3.6,3.6,3.5,3.965277777777778
46,Vermont,4.0,3.7,3.4,3.3,3.3,3.5,3.7,4.1,4.4,4.4,4.3,4.2,4.149305555555555
47,Virginia,5.0,4.9,5.0,4.9,5.1,5.3,5.3,5.6,5.5,5.3,5.0,4.8,5.533333333333332
48,Washington,6.4,6.4,6.3,6.1,6.1,5.8,5.6,5.6,5.7,6.0,6.2,6.3,6.503472222222222
49,West Virginia,5.9,6.0,6.1,6.0,6.3,6.2,6.3,6.6,6.6,6.5,6.3,6.0,6.707638888888888
50,Wisconsin,6.1,6.1,5.9,5.8,5.7,5.7,5.8,5.6,5.5,5.4,5.2,5.2,6.101388888888889
