,State,Avg_Income
0,Alabama,53612.92
1,Alaska,77670.20
2,Arizona,62578.07
3,Arkansas,52060.36
4,California,78126.73
5,Colorado,73322.82
6,Connecticut,89227.21
7,Delaware,70142.34
8,Florida,60887.88
9,Georgia,60354.39
10,Hawaii,77859.58
11,Idaho,56211.44
12,Illinois,69067.38
13,Indiana,59153.83
14,Iowa,62569.14
15,Kansas,61704.81
16,Kentucky,55250.16
17,Louisiana,55432.26
18,Maine,60708.52
19,Maryland,87689.60
20,Massachusetts,84878.68
21,Michigan,59001.12
22,Minnesota,71403.99
23,Mississippi,48924.00
24,Missouri,56674.88
25,Montana,57350.55
26,Nebraska,61719.38
27,Nevada,65684.12
28,New Hampshire,76113.50
29,New Jersey,88657.64
30,New Mexico,57127.07
31,New York,76201.22
32,North Carolina,57750.10
33,North Dakota,65137.06
34,Ohio,59675.86
35,Oklahoma,55121.33
36,Oregon,63597.04
37,Pennsylvania,64878.69
38,Rhode Island,72971.17
39,South Carolina,55715.24
40,South Dakota,58276.96
41,Tennessee,56271.95
42,Texas,65407.01
43,Utah,72132.21
44,Vermont,63195.49
45,Virginia,79401.74
46,Washington,74067.36
47,West Virginia,52291.99
48,Wisconsin,64143.25
49,Wyoming,67552.66
