,State,January,February,March,April,May,June,July,August,September,October,November ,December
0,Alabama,6.1,6.4,6.7,6.9,6.8,6.8,7,6.9,6.6,6.3,6,5.7
1,Alaska,6.4,6.5,6.6,6.4,6.4,6.4,6.5,6.8,6.8,6.8,6.6,6.3
2,Arizona,7.5,7.3,7.3,6.9,6.8,6.9,7,7.1,6.9,6.8,6.8,6.7
3,Arkansas,7.3,7.1,6.9,6.6,6.4,6.2,6.2,6.3,6.2,6,5.8,5.7
4,California,8.1,8,8.1,7.8,7.6,7.4,7.4,7.4,7.3,7.3,7.2,7
5,Colorado,6.1,6.1,6.2,6,5.8,5.5,5.3,5.1,4.7,4.3,4.1,4
6,Connecticut,7.2,7,7,6.9,6.9,6.7,6.6,6.6,6.4,6.4,6.5,6.4
7,Delaware,6.1,6,5.9,5.8,5.9,6.1,6.2,6.5,6.5,6.4,6,5.4
9,Florida,6.1,6.2,6.3,6.2,6.3,6.2,6.2,6.3,6.1,6,5.8,5.6
10,Georgia,7.3,7.1,7,7,7.2,7.4,7.7,8.1,7.9,7.7,7.2,6.9
11,Hawaii,4.6,4.6,4.5,4.4,4.4,4.4,4.4,4.3,4.2,4.1,4,4
12,Idaho,5.4,5.3,5.2,5,4.9,4.7,4.8,4.7,4.5,4.1,3.9,3.7
13,Illinois,8.7,8.7,8.4,7.9,7.5,7.1,6.8,6.7,6.6,6.6,6.4,6.2
14,Indiana,6.4,6.1,5.9,5.7,5.7,5.9,5.9,5.8,5.7,5.7,5.7,5.8
15,Iowa,4.3,4.4,4.5,4.3,4.4,4.4,4.5,4.5,4.6,4.5,4.3,4.1
16,Kansas,4.8,4.9,4.9,4.8,4.8,4.9,4.9,4.9,4.8,4.4,4.3,4.2
17,Kentucky,7.7,7.8,7.9,7.7,7.7,7.4,7.4,7.1,6.7,6.2,6,5.7
18,Louisiana,4.9,4.5,4.5,4.5,4.9,5,5.4,5.8,6,6.2,6.5,6.7
19,Maine,6.2,6.1,5.9,5.7,5.7,5.5,5.5,5.6,5.8,5.8,5.7,5.5
20,Maryland,5.8,5.7,5.6,5.5,5.6,5.8,6.1,6.4,6.3,6,5.6,5.5
21,Massachusetts,6.8,6.5,6.3,6,5.6,5.5,5.6,5.8,6,6,5.8,5.5
22,Michigan,7.8,7.7,7.5,7.4,7.5,7.5,7.7,7.4,7.2,7.1,6.7,6.3
23,Minnesota,4.7,4.8,4.8,4.7,4.6,4.5,4.5,4.3,4.1,3.9,3.7,3.6
24,Mississippi,7.5,7.4,7.6,7.5,7.7,7.9,8,7.9,7.7,7.6,7.3,7.2
25,Missouri,6,6.4,6.7,6.6,6.6,6.5,6.5,6.3,6.3,5.9,5.6,5.4
26,Montana,5.3,5.1,5.1,4.8,4.6,4.5,4.6,4.7,4.6,4.5,4.3,4.2
27,Nebraska,3.5,3.6,3.7,3.6,3.6,3.5,3.6,3.6,3.6,3.4,3.1,2.9
28,Nevada,8.7,8.5,8.5,8,7.9,7.7,7.7,7.6,7.3,7.1,6.9,6.8
29,New Hampshire,4.9,4.7,4.5,4.4,4.4,4.4,4.4,4.4,5.2,4.2,4.1,4
30,New Jersey,7.1,7.1,7.2,6.9,6.8,6.6,6.5,6.6,6.5,6.6,6.4,6.2
31,New Mexico,6.6,6.7,7,6.8,6.5,6.5,6.6,6.7,6.6,6.5,6.4,6.1
32,New York,6.8,6.8,6.9,6.7,6.7,6.6,6.6,6.4,6.2,6,5.9,5.8
33,North Carolina,6.7,6.4,6.3,6.2,6.4,6.4,6.5,6.8,6.7,6.3,5.8,5.5
34,North Dakota,2.6,2.6,2.6,2.6,2.6,2.7,2.8,2.8,2.8,2.8,2.7,2.8
35,Ohio,6.9,6.5,6.1,5.7,5.5,5.5,5.7,5.7,5.6,5.3,5,4.8
36,Oklahoma,5.2,5,4.9,4.6,4.6,4.5,4.6,4.7,4.7,4.5,4.4,4.2
37,Oregon,7,6.9,6.9,6.9,6.9,6.8,6.9,7.2,7.1,7,7,6.7
38,Pennsylvania,6.4,6.2,6,5.7,5.6,5.6,5.7,5.8,5.7,5.4,5.1,4.8
40,Rhode Island,9.2,9,8.7,8.3,8.2,7.9,7.7,7.7,7.6,7.4,7.1,6.8
41,South Carolina,6.4,5.7,5.5,5.3,5.3,5.3,5.8,6.4,6.6,6.7,6.7,6.5
42,South Dakota,3.6,3.6,3.7,3.8,3.8,3.8,3.7,3.6,3.4,3.3,3.3,3.3
43,Tennessee,7.2,6.9,6.7,6.3,6.4,6.6,7.1,7.4,7.3,7.1,6.8,6.6
44,Texas,5.7,5.7,5.5,5.2,5.1,5.1,5.1,5.3,5.2,5.1,4.9,4.6
45,Utah,3.9,3.9,4.1,3.8,3.6,3.5,3.6,3.6,3.5,3.6,3.6,3.5
46,Vermont,4,3.7,3.4,3.3,3.3,3.5,3.7,4.1,4.4,4.4,4.3,4.2
47,Virginia,5,4.9,5,4.9,5.1,5.3,5.3,5.6,5.5,5.3,5,4.8
48,Washington,6.4,6.4,6.3,6.1,6.1,5.8,5.6,5.6,5.7,6,6.2,6.3
49,West Virginia,5.9,6,6.1,6,6.3,6.2,6.3,6.6,6.6,6.5,6.3,6
50,Wisconsin,6.1,6.1,5.9,5.8,5.7,5.7,5.8,5.6,5.5,5.4,5.2,5.2
51,Wyoming,4.3,4.2,4,3.7,3.8,4,4.4,4.6,4.7,4.7,4.5,4.2
