,State,January,February,March,April,May,June,July,August,September,October,November ,December,Avg_Unemployment
0,Alabama,6.1,6.4,6.7,6.9,6.8,6.8,7.0,6.9,6.6,6.3,6.0,5.7,6.516666666666667
1,Alaska,6.4,6.5,6.6,6.4,6.4,6.4,6.5,6.8,6.8,6.8,6.6,6.3,6.541666666666665
2,Arizona,7.5,7.3,7.3,6.9,6.8,6.9,7.0,7.1,6.9,6.8,6.8,6.7,7.0
3,Arkansas,7.3,7.1,6.9,6.6,6.4,6.2,6.2,6.3,6.2,6.0,5.8,5.7,6.391666666666667
4,California,8.1,8.0,8.1,7.8,7.6,7.4,7.4,7.4,7.3,7.3,7.2,7.0,7.55
5,Colorado,6.1,6.1,6.2,6.0,5.8,5.5,5.3,5.1,4.7,4.3,4.1,4.0,5.266666666666667
6,Connecticut,7.2,7.0,7.0,6.9,6.9,6.7,6.6,6.6,6.4,6.4,6.5,6.4,6.716666666666668
7,Delaware,6.1,6.0,5.9,5.8,5.9,6.1,6.2,6.5,6.5,6.4,6.0,5.4,6.066666666666667
9,Florida,6.1,6.2,6.3,6.2,6.3,6.2,6.2,6.3,6.1,6.0,5.8,5.6,6.108333333333333
10,Georgia,7.3,7.1,7.0,7.0,7.2,7.4,7.7,8.1,7.9,7.7,7.2,6.9,7.375000000000001
11,Hawaii,4.6,4.6,4.5,4.4,4.4,4.4,4.4,4.3,4.2,4.1,4.0,4.0,4.325
12,Idaho,5.4,5.3,5.2,5.0,4.9,4.7,4.8,4.7,4.5,4.1,3.9,3.7,4.683333333333334
13,Illinois,8.7,8.7,8.4,7.9,7.5,7.1,6.8,6.7,6.6,6.6,6.4,6.2,7.300000000000001
14,Indiana,6.4,6.1,5.9,5.7,5.7,5.9,5.9,5.8,5.7,5.7,5.7,5.8,5.858333333333334
15,Iowa,4.3,4.4,4.5,4.3,4.4,4.4,4.5,4.5,4.6,4.5,4.3,4.1,4.3999999999999995
16,Kansas,4.8,4.9,4.9,4.8,4.8,4.9,4.9,4.9,4.8,4.4,4.3,4.2,4.716666666666666
17,Kentucky,7.7,7.8,7.9,7.7,7.7,7.4,7.4,7.1,6.7,6.2,6.0,5.7,7.108333333333334
18,Louisiana,4.9,4.5,4.5,4.5,4.9,5.0,5.4,5.8,6.0,6.2,6.5,6.7,5.408333333333334
19,Maine,6.2,6.1,5.9,5.7,5.7,5.5,5.5,5.6,5.8,5.8,5.7,5.5,5.75
20,Maryland,5.8,5.7,5.6,5.5,5.6,5.8,6.1,6.4,6.3,6.0,5.6,5.5,5.824999999999999
21,Massachusetts,6.8,6.5,6.3,6.0,5.6,5.5,5.6,5.8,6.0,6.0,5.8,5.5,5.95
22,Michigan,7.8,7.7,7.5,7.4,7.5,7.5,7.7,7.4,7.2,7.1,6.7,6.3,7.316666666666666
23,Minnesota,4.7,4.8,4.8,4.7,4.6,4.5,4.5,4.3,4.1,3.9,3.7,3.6,4.3500000000000005
24,Mississippi,7.5,7.4,7.6,7.5,7.7,7.9,8.0,7.9,7.7,7.6,7.3,7.2,7.608333333333333
25,Missouri,6.0,6.4,6.7,6.6,6.6,6.5,6.5,6.3,6.3,5.9,5.6,5.4,6.233333333333333
26,Montana,5.3,5.1,5.1,4.8,4.6,4.5,4.6,4.7,4.6,4.5,4.3,4.2,4.691666666666666
27,Nebraska,3.5,3.6,3.7,3.6,3.6,3.5,3.6,3.6,3.6,3.4,3.1,2.9,3.475
28,Nevada,8.7,8.5,8.5,8.0,7.9,7.7,7.7,7.6,7.3,7.1,6.9,6.8,7.7250000000000005
29,New Hampshire,4.9,4.7,4.5,4.4,4.4,4.4,4.4,4.4,5.2,4.2,4.1,4.0,4.466666666666668
30,New Jersey,7.1,7.1,7.2,6.9,6.8,6.6,6.5,6.6,6.5,6.6,6.4,6.2,6.708333333333333
31,New Mexico,6.6,6.7,7.0,6.8,6.5,6.5,6.6,6.7,6.6,6.5,6.4,6.1,6.583333333333333
32,New York,6.8,6.8,6.9,6.7,6.7,6.6,6.6,6.4,6.2,6.0,5.9,5.8,6.45
33,North Carolina,6.7,6.4,6.3,6.2,6.4,6.4,6.5,6.8,6.7,6.3,5.8,5.5,6.333333333333333
34,North Dakota,2.6,2.6,2.6,2.6,2.6,2.7,2.8,2.8,2.8,2.8,2.7,2.8,2.6999999999999997
35,Ohio,6.9,6.5,6.1,5.7,5.5,5.5,5.7,5.7,5.6,5.3,5.0,4.8,5.691666666666666
36,Oklahoma,5.2,5.0,4.9,4.6,4.6,4.5,4.6,4.7,4.7,4.5,4.4,4.2,4.658333333333333
37,Oregon,7.0,6.9,6.9,6.9,6.9,6.8,6.9,7.2,7.1,7.0,7.0,6.7,6.941666666666666
38,Pennsylvania,6.4,6.2,6.0,5.7,5.6,5.6,5.7,5.8,5.7,5.4,5.1,4.8,5.666666666666667
40,Rhode Island,9.2,9.0,8.7,8.3,8.2,7.9,7.7,7.7,7.6,7.4,7.1,6.8,7.966666666666666
41,South Carolina,6.4,5.7,5.5,5.3,5.3,5.3,5.8,6.4,6.6,6.7,6.7,6.5,6.016666666666667
42,South Dakota,3.6,3.6,3.7,3.8,3.8,3.8,3.7,3.6,3.4,3.3,3.3,3.3,3.5749999999999993
43,Tennessee,7.2,6.9,6.7,6.3,6.4,6.6,7.1,7.4,7.3,7.1,6.8,6.6,6.866666666666666
44,Texas,5.7,5.7,5.5,5.2,5.1,5.1,5.1,5.3,5.2,5.1,4.9,4.6,5.208333333333334
45,Utah,3.9,3.9,4.1,3.8,3.6,3.5,3.6,3.6,3.5,3.6,3.6,3.5,3.6833333333333336
46,Vermont,4.0,3.7,3.4,3.3,3.3,3.5,3.7,4.1,4.4,4.4,4.3,4.2,3.858333333333333
47,Virginia,5.0,4.9,5.0,4.9,5.1,5.3,5.3,5.6,5.5,5.3,5.0,4.8,5.141666666666666
48,Washington,6.4,6.4,6.3,6.1,6.1,5.8,5.6,5.6,5.7,6.0,6.2,6.3,6.041666666666667
49,West Virginia,5.9,6.0,6.1,6.0,6.3,6.2,6.3,6.6,6.6,6.5,6.3,6.0,6.233333333333333
50,Wisconsin,6.1,6.1,5.9,5.8,5.7,5.7,5.8,5.6,5.5,5.4,5.2,5.2,5.666666666666667
