,State,Population,Deaths,Abbrev
0,Alabama,4833722,723,AL
1,Alaska,735132,124,AK
2,Arizona,6626624,1211,AZ
3,Arkansas,2959373,356,AR
4,California,38332521,4521,CA
5,Colorado,5268367,899,CO
6,Connecticut,3596080,623,CT
7,Delaware,925749,189,DE
8,Florida,19552860,2634,FL
9,Georgia,9992167,1206,GA
10,Hawaii,1404054,157,HI
11,Idaho,1612136,212,ID
12,Illinois,12882135,1705,IL
13,Indiana,6570902,1172,IN
14,Iowa,3090416,264,IA
15,Kansas,2893957,332,KS
16,Kentucky,4395295,1077,KY
17,Louisiana,4625470,777,LA
18,Maine,1328302,216,ME
19,Maryland,5928814,1070,MD
20,Massachusetts,6692824,1289,MA
21,Michigan,9895622,1762,MI
22,Minnesota,5420380,517,MN
23,Mississippi,2991207,336,MS
24,Missouri,6044171,1067,MO
25,Montana,1015165,125,MT
26,Nebraska,1868516,125,NE
27,Nevada,2790136,545,NV
28,New Hampshire,1323459,334,NH
29,New Jersey,8899339,1253,NJ
30,New Mexico,2085287,547,NM
31,New York,19651127,2300,NY
32,North Carolina,9848060,1358,NC
33,North Dakota,723393,43,ND
34,Ohio,11570808,2744,OH
35,Oklahoma,3850568,777,OK
36,Oregon,3930065,522,OR
37,Pennsylvania,12773801,2732,PA
38,Rhode Island,1051511,247,RI
39,South Carolina,4774839,701,SC
40,South Dakota,844877,63,SD
41,Tennessee,6495978,1269,TN
42,Texas,26448193,2601,TX
43,Utah,2900872,603,UT
44,Vermont,626630,83,VT
45,Virginia,8260405,980,VA
46,Washington,6971406,979,WA
47,West Virginia,1854304,627,WV
48,Wisconsin,5742713,853,WI
49,Wyoming,582658,109,WY
